wavenumber,blue,black,red
4050.809,25.45307,24.95414,51.53312
4051.773,25.49682,25.01308,51.568
4052.737,25.53883,25.07065,51.60022
4053.701,25.58194,25.13134,51.63778
4054.666,25.62664,25.19349,51.67732
4055.63,25.67286,25.25497,51.71704
4056.594,25.71686,25.31431,51.75176
4057.558,25.76084,25.37388,51.78697
4058.522,25.80729,25.43758,51.82883
4059.487,25.85466,25.50088,51.87113
4060.451,25.90146,25.56226,51.91146
4061.415,25.94676,25.62246,51.9492
4062.379,25.99362,25.6832,51.98808
4063.344,26.04393,25.74647,52.0323
4064.308,26.09392,25.81039,52.07494
4065.272,26.14166,25.87267,52.11612
4066.237,26.18937,25.93422,52.15644
4067.201,26.23908,25.99692,52.19635
4068.165,26.29022,26.06058,52.23751
4069.129,26.33947,26.12195,52.27756
4070.094,26.38692,26.18377,52.31664
4071.058,26.43608,26.24765,52.35683
4072.022,26.48649,26.31016,52.39579
4072.986,26.53762,26.37234,52.43551
4073.95,26.58904,26.43517,52.47571
4074.915,26.6389,26.49796,52.51507
4075.879,26.69071,26.56104,52.55515
4076.843,26.74365,26.6239,52.5929
4077.808,26.79499,26.68742,52.63008
4078.772,26.84724,26.75124,52.6703
4079.736,26.90011,26.81501,52.70971
4080.7,26.95359,26.87863,52.74721
4081.665,27.00606,26.94182,52.78505
4082.629,27.05959,27.00561,52.82454
4083.593,27.11534,27.07038,52.8665
4084.557,27.17116,27.13521,52.908
4085.521,27.22514,27.19965,52.94649
4086.486,27.28024,27.26453,52.98513
4087.45,27.33684,27.33036,53.02603
4088.414,27.39143,27.39468,53.06745
4089.378,27.44493,27.45777,53.10651
4090.343,27.49792,27.52064,53.14314
4091.307,27.55377,27.58448,53.18179
4092.271,27.61054,27.64848,53.22263
4093.235,27.66544,27.71174,53.26254
4094.2,27.71814,27.77247,53.29822
4095.164,27.77138,27.83284,53.33236
4096.128,27.82687,27.89479,53.37103
4097.092,27.88163,27.95665,53.41059
4098.057,27.93464,28.01568,53.44603
4099.021,27.98591,28.07244,53.47812
4099.985,28.03777,28.13002,53.51052
4100.949,28.09025,28.18903,53.54548
4101.914,28.14345,28.2485,53.58075
4102.878,28.19451,28.30469,53.61147
4103.842,28.24368,28.35906,53.63959
4104.807,28.29423,28.41386,53.66934
4105.771,28.34569,28.46786,53.70005
4106.735,28.39598,28.52095,53.73142
4107.699,28.4443,28.57409,53.75838
4108.664,28.49245,28.62623,53.78383
4109.628,28.54053,28.67614,53.81034
4110.592,28.58851,28.72701,53.8378
4111.556,28.63691,28.7795,53.86541
4112.521,28.68545,28.83061,53.89202
4113.485,28.73212,28.87987,53.91647
4114.449,28.77751,28.92908,53.94172
4115.413,28.82289,28.97945,53.96736
4116.377,28.86952,29.02867,53.99498
4117.342,28.9177,29.07788,54.02362
4118.306,28.96432,29.1267,54.05025
4119.27,29.00972,29.17599,54.0755
4120.234,29.05659,29.22517,54.10176
4121.199,29.10436,29.2738,54.13119
4122.163,29.15167,29.32204,54.16148
4123.127,29.19743,29.37021,54.18908
4124.091,29.24389,29.41876,54.21904
4125.056,29.29129,29.4686,54.2524
4126.02,29.33918,29.51775,54.28387
4126.984,29.38676,29.56668,54.31421
4127.948,29.43214,29.6144,54.34394
4128.913,29.47821,29.66331,54.37415
4129.877,29.52585,29.71415,54.40696
4130.841,29.57182,29.76345,54.43987
4131.806,29.61648,29.81197,54.47163
4132.77,29.66114,29.85907,54.50257
4133.734,29.70665,29.90693,54.53554
4134.698,29.75305,29.95698,54.56913
4135.663,29.7981,30.00469,54.60136
4136.626,29.84196,30.05095,54.63395
4137.591,29.8871,30.09788,54.66883
4138.555,29.93199,30.14635,54.70301
4139.52,29.97688,30.19441,54.73661
4140.484,30.02084,30.24067,54.7694
4141.448,30.06406,30.28673,54.80095
4142.412,30.10766,30.33506,54.83371
4143.376,30.15146,30.38094,54.86642
4144.341,30.19346,30.42559,54.89981
4145.305,30.23516,30.47157,54.93403
4146.269,30.27771,30.51718,54.96761
4147.233,30.32014,30.56259,54.99995
4148.198,30.36138,30.60725,55.03167
4149.162,30.4017,30.65119,55.06422
4150.126,30.44274,30.69495,55.09861
4151.09,30.48348,30.73787,55.13081
4152.055,30.52263,30.78063,55.16377
4153.019,30.56117,30.82352,55.19811
4153.983,30.60126,30.8665,55.23083
4154.947,30.64168,30.90989,55.26376
4155.912,30.68007,30.9509,55.29684
4156.876,30.71749,30.99085,55.32848
4157.84,30.7547,31.03339,55.36088
4158.804,30.7916,31.07471,55.39319
4159.769,30.82887,31.11455,55.42551
4160.733,30.86604,31.15426,55.45784
4161.697,30.90219,31.19385,55.4897
4162.661,30.93829,31.23413,55.52279
4163.625,30.97418,31.27301,55.55562
4164.59,31.00901,31.31057,55.58549
