Wavelength (nm),Ikaite
1420,0.182378173
1421,0.17976617
1422,0.17711627
1423,0.174549396
1424,0.17194193
1425,0.169385152
1426,0.166913889
1427,0.164429365
1428,0.162062787
1429,0.159733204
1430,0.157391705
1431,0.15511816
1432,0.152841733
1433,0.150625462
1434,0.148465063
1435,0.146304042
1436,0.144239825
1437,0.142197134
1438,0.140168703
1439,0.138172961
1440,0.13621326
1441,0.134248166
1442,0.13237234
1443,0.130532303
1444,0.12876875
1445,0.127109341
1446,0.125440449
1447,0.123812187
1448,0.122218581
1449,0.120627588
1450,0.119114339
1451,0.117649803
1452,0.116241071
1453,0.114905643
1454,0.113588691
1455,0.112318739
1456,0.111080218
1457,0.10986882
1458,0.108708045
1459,0.107581527
1460,0.106493003
1461,0.105448445
1462,0.104452874
1463,0.103486669
1464,0.102580164
1465,0.101711427
1466,0.100869908
1467,0.100085147
1468,0.099341335
1469,0.098662108
1470,0.0980328
1471,0.097408809
1472,0.096818435
1473,0.096262609
1474,0.095729689
1475,0.095232451
1476,0.094794562
1477,0.094414223
1478,0.094045481
1479,0.093714683
1480,0.093403036
1481,0.093081395
1482,0.092806302
1483,0.092553809
1484,0.092310439
1485,0.092094967
1486,0.091878633
1487,0.091658233
1488,0.091445507
1489,0.091228292
1490,0.0910122
1491,0.090785013
1492,0.090526855
1493,0.090276452
1494,0.090028709
1495,0.089776588
1496,0.089547872
1497,0.089312521
1498,0.089073746
1499,0.088852225
1500,0.088625373
1501,0.088408924
1502,0.088233228
1503,0.088088414
1504,0.087975355
1505,0.08791373
1506,0.087881981
1507,0.087897856
1508,0.087993123
1509,0.088129551
1510,0.088317941
1511,0.088559523
1512,0.088833857
1513,0.089176392
1514,0.089556865
1515,0.089952229
1516,0.090378351
1517,0.090804637
1518,0.091218943
1519,0.091653989
1520,0.092103166
1521,0.092541788
1522,0.093008696
1523,0.093499667
1524,0.093994669
1525,0.094485944
1526,0.094984216
1527,0.095510867
1528,0.096009126
1529,0.096519028
1530,0.097081684
1531,0.097627345
1532,0.098178009
1533,0.098738235
1534,0.099278353
1535,0.099807873
1536,0.100350909
1537,0.100925704
1538,0.101489011
1539,0.102058203
1540,0.102638205
1541,0.103167066
1542,0.1037077
1543,0.104260972
1544,0.104784808
1545,0.105326736
1546,0.105858856
1547,0.106371362
1548,0.106868431
1549,0.10733611
1550,0.107797041
1551,0.108241445
1552,0.108670602
1553,0.109112151
1554,0.109524079
1555,0.109906945
1556,0.110317652
1557,0.110713614
1558,0.111094646
1559,0.111495571
1560,0.111889666
1561,0.112281468
1562,0.112678434
1563,0.113062265
1564,0.113448983
1565,0.1138388
1566,0.114219697
1567,0.11461282
1568,0.115018804
1569,0.115395184
1570,0.115756544
1571,0.116153233
1572,0.116530444
1573,0.116930909
1574,0.11737397
1575,0.117776786
1576,0.118188105
1577,0.118600302
1578,0.118975421
1579,0.119345522
1580,0.11970437
1581,0.120041401
1582,0.120360316
1583,0.120677001
1584,0.120994888
1585,0.121282878
1586,0.121568253
1587,0.121837007
1588,0.122059495
1589,0.122288575
1590,0.122512562
1591,0.122709096
1592,0.122909939
1593,0.123084935
1594,0.123223388
1595,0.123368729
1596,0.123502785
1597,0.123638358
1598,0.123778118
1599,0.123907395
1600,0.124026789
1601,0.124114201
1602,0.124183063
1603,0.124253303
1604,0.124315768
1605,0.124373987
1606,0.124436114
1607,0.124479028
1608,0.124549173
1609,0.124621205
1610,0.12467691
1611,0.12476676
1612,0.124816419
1613,0.124848355
1614,0.124896409
1615,0.124908038
1616,0.124924413
1617,0.124985441
1618,0.125051491
1619,0.125129059
1620,0.125210703
1621,0.125252483
1622,0.125293974
1623,0.125348735
1624,0.125411925
1625,0.125481637
1626,0.125560021
1627,0.125626849
1628,0.125676325
1629,0.125754215
1630,0.125825958
1631,0.125874019
1632,0.125926527
1633,0.125989804
1634,0.126032546
1635,0.126060377
1636,0.126099559
1637,0.126103784
1638,0.126117822
1639,0.126159562
1640,0.12616859
1641,0.126176217
1642,0.126164738
1643,0.126122244
1644,0.126112629
1645,0.126114567
1646,0.126072247
1647,0.126043171
1648,0.126040268
1649,0.125976913
1650,0.125930252
1651,0.125910719
1652,0.125802819
1653,0.12571922
1654,0.125637595
1655,0.125536221
1656,0.125426567
1657,0.12531659
1658,0.125183533
1659,0.125067577
1660,0.12499107
1661,0.124849134
1662,0.124687734
1663,0.124513618
1664,0.124274401
1665,0.124070188
1666,0.123904181
1667,0.123661395
1668,0.123408159
1669,0.12309116
1670,0.122734155
1671,0.122347133
1672,0.121896127
1673,0.121408836
1674,0.120894754
1675,0.120372948
1676,0.119849266
1677,0.119323563
1678,0.118811029
1679,0.11827337
1680,0.11777672
1681,0.117352513
1682,0.116967754
1683,0.116637177
1684,0.116337467
1685,0.116084977
1686,0.115840346
1687,0.115636129
1688,0.115459594
1689,0.115256426
1690,0.115092405
1691,0.114969476
1692,0.114920018
1693,0.114902847
1694,0.114898021
1695,0.11497498
1696,0.1150868
1697,0.115223672
1698,0.115399641
1699,0.115605086
1700,0.115830486
1701,0.116160144
1702,0.116409527
1703,0.116634034
1704,0.116815571
1705,0.116924977
1706,0.117062731
1707,0.117201089
1708,0.117320602
1709,0.117439247
1710,0.117532785
1711,0.11759212
1712,0.117651911
1713,0.11771062
1714,0.117745968
1715,0.117766985
1716,0.117777144
1717,0.117778148
1718,0.11774767
1719,0.117681239
1720,0.117638173
1721,0.117595211
1722,0.117506735
1723,0.117417381
1724,0.117272977
1725,0.117103636
1726,0.116975988
1727,0.116864855
1728,0.116754158
1729,0.116630295
1730,0.116537673
1731,0.116497261
1732,0.116486152
1733,0.116516569
1734,0.116504363
1735,0.116586577
1736,0.116765113
1737,0.116913925
1738,0.117148957
1739,0.117324046
1740,0.117410647
1741,0.117565758
1742,0.117771057
1743,0.11792726
1744,0.118103878
1745,0.118229669
1746,0.118284271
1747,0.118359494
1748,0.118427584
1749,0.118503733
1750,0.118576422
1751,0.118648739
1752,0.118718271
1753,0.118802712
1754,0.118888909
1755,0.118987126
1756,0.119098788
1757,0.119221423
1758,0.119343144
1759,0.119501091
1760,0.119680863
1761,0.119881756
1762,0.120123903
1763,0.120398409
1764,0.120713125
1765,0.121121584
1766,0.12147875
1767,0.121797827
1768,0.122185832
1769,0.122577101
1770,0.122992967
1771,0.123523581
1772,0.123969531
1773,0.124361666
1774,0.124765803
1775,0.12514673
1776,0.12514673
1777,0.125526752
