data,data2
1.2835737056213e-05,71790.3912103244
1.28973001109467e-05,71544.148696771
1.29588631656805e-05,71273.4443839679
1.30204262204142e-05,70983.4803687131
1.30819892751479e-05,70671.4417919471
1.31435523298817e-05,70337.5658601272
1.32051153846154e-05,69973.2274213375
1.32666784393491e-05,69570.9990555029
1.33282414940828e-05,69123.3617437895
1.33898045488166e-05,68625.0038862109
1.34513676035503e-05,68086.8442284643
1.3512930658284e-05,67526.9833290454
1.35744937130178e-05,66994.2138755912
1.36360567677515e-05,66558.0836673652
1.36976198224852e-05,66247.7246840816
1.37591828772189e-05,66015.9240943006
1.38207459319527e-05,65796.7831887557
1.38823089866864e-05,65511.4614707366
1.39438720414201e-05,65165.682739882
1.40054350961538e-05,68782.0123909745
1.40669981508876e-05,71421.0156145209
1.41285612056213e-05,68348.6155577786
1.4190124260355e-05,67442.3714330159
1.42516873150888e-05,66959.7776962688
1.43132503698225e-05,66760.8775975984
1.43748134245562e-05,66782.0586344286
1.44363764792899e-05,67022.4549199432
1.44979395340237e-05,67324.439648864
1.45595025887574e-05,67645.1783770182
1.46210656434911e-05,67954.332975988
1.46826286982249e-05,68210.4105479279
1.47441917529586e-05,68431.3323803046
1.48057548076923e-05,68618.8610353537
1.4867317862426e-05,68761.4458803265
1.49288809171598e-05,68867.9299908688
1.49904439718935e-05,68948.3397332097
1.50520070266272e-05,69001.0964175879
1.51135700813609e-05,69024.6467347589
1.51751331360947e-05,69030.4223191233
1.52366961908284e-05,69015.6500528091
1.52982592455621e-05,68981.3524732811
1.53598223002959e-05,68932.3010690515
1.54213853550296e-05,68869.7212454969
1.54829484097633e-05,68793.5911652205
1.5544511464497e-05,68707.9967802704
1.56060745192308e-05,68609.825379024
1.56676375739645e-05,68504.0289465576
1.57292006286982e-05,68389.0745608758
1.5790763683432e-05,68266.9278137996
1.58523267381657e-05,68138.8436834962
1.59138897928994e-05,68004.8619668427
1.59754528476331e-05,67864.4773914324
1.60370159023669e-05,67721.1514183376
1.60985789571006e-05,67573.451200825
1.61601420118343e-05,67422.0120877036
1.6221705066568e-05,67266.4607532145
1.62832681213018e-05,67109.1842992482
1.63448311760355e-05,66948.1271279567
1.64063942307692e-05,66786.8900857722
1.6467957285503e-05,66623.5147303219
1.65295203402367e-05,66458.934157388
1.65910833949704e-05,66292.8817934392
1.66526464497041e-05,66125.8433252834
1.67142095044379e-05,65958.5613429002
1.67757725591716e-05,65790.9839700382
1.68373356139053e-05,65623.0947390802
1.68988986686391e-05,65454.5584964759
1.69604617233728e-05,65286.5525928635
1.70220247781065e-05,65119.2433479673
1.70835878328402e-05,64951.7440891649
1.7145150887574e-05,64785.0394534163
1.72067139423077e-05,64619.8523398561
1.72682769970414e-05,64455.2406002722
1.73298400517752e-05,64291.3522107452
1.73914031065089e-05,64127.9746249646
1.74529661612426e-05,63966.5139662063
1.75145292159763e-05,63806.5403922047
1.75760922707101e-05,63647.244683626
1.76376553254438e-05,63489.1667284173
1.76992183801775e-05,63332.7058961892
1.77607814349112e-05,63178.3764924105
1.7822344489645e-05,63025.1920411898
1.78839075443787e-05,62872.8661291717
1.79454705991124e-05,62722.9160503452
1.80070336538462e-05,62574.5123728852
1.80685967085799e-05,62427.9682502593
1.81301597633136e-05,62282.8426684255
1.81917228180473e-05,62139.8619032893
1.82532858727811e-05,61997.5661748331
1.83148489275148e-05,61859.2252195009
1.83764119822485e-05,61720.5801720586
1.84379750369822e-05,61584.3844549944
1.8499538091716e-05,61449.5654312726
1.85611011464497e-05,61317.465026341
1.86226642011834e-05,61186.9432111496
1.86842272559172e-05,61057.76018639
1.87457903106509e-05,60930.1097158073
1.88073533653846e-05,60803.8290064589
1.88689164201183e-05,60680.7224585281
1.89304794748521e-05,60557.9251375387
1.89920425295858e-05,60437.92227716
1.90536055843195e-05,60319.2226963726
1.91151686390533e-05,60202.1442294963
1.9176731693787e-05,60086.8030427142
1.92382947485207e-05,59972.8459651042
1.92998578032544e-05,59860.7453255121
1.93614208579882e-05,59749.8346656289
1.94229839127219e-05,59641.2958558812
1.94845469674556e-05,59534.0928425838
1.95461100221893e-05,59427.9909754826
1.96076730769231e-05,59324.0606456141
1.96692361316568e-05,59220.6848896471
1.97307991863905e-05,59119.3115083951
1.97923622411243e-05,59019.6164696535
1.9853925295858e-05,58921.3293454235
1.99154883505917e-05,58824.3475597308
1.99770514053254e-05,58728.9507641075
2.00386144600592e-05,58635.6254968754
2.01001775147929e-05,58543.9028355248
2.01617405695266e-05,58453.1512822557
2.02233036242604e-05,58365.8061564228
2.02848666789941e-05,58279.1368365614
2.03464297337278e-05,58193.8392656725
2.04079927884615e-05,58110.5482804632
2.04695558431953e-05,58030.2672814605
2.0531118897929e-05,57952.0796140382
2.05926819526627e-05,57875.9670641412
2.06542450073965e-05,57802.286661576
2.07158080621302e-05,57731.9677330358
2.07773711168639e-05,57664.2043552401
2.08389341715976e-05,57599.1566899883
2.09004972263314e-05,57539.518510493
2.09620602810651e-05,57483.0112018036
2.10236233357988e-05,57429.8213226856
2.10851863905325e-05,57382.1427615238
2.11467494452663e-05,57340.5394664121
2.12083125e-05,57303.7421294156
2.12698755547337e-05,57273.0306888344
2.13314386094675e-05,57251.3439820275
2.13930016642012e-05,57236.1385530063
2.14545647189349e-05,57228.5332981733
2.15161277736686e-05,57233.9277068632
2.15776908284024e-05,57248.1610177604
2.16392538831361e-05,57273.0429628701
2.17008169378698e-05,57315.9787957124
2.17623799926036e-05,57370.7071133863
2.18239430473373e-05,57441.7713742142
2.1885506102071e-05,57536.6228955416
2.19470691568047e-05,57646.9941555339
2.20086322115385e-05,57785.1172418883
2.20701952662722e-05,57953.4891166626
2.21317583210059e-05,58141.311101915
2.21933213757396e-05,58378.1894021066
2.22548844304734e-05,58648.8368770753
2.23164474852071e-05,58949.3214119483
2.23780105399408e-05,59326.597867602
2.24395735946746e-05,59738.258753308
2.25011366494083e-05,60216.4916422644
2.2562699704142e-05,60774.0822639655
2.26242627588757e-05,61373.8460086527
2.26858258136095e-05,62108.7549905584
2.27473888683432e-05,62899.3273860686
2.28089519230769e-05,63804.1955023855
2.28705149778107e-05,64828.7679431751
2.29320780325444e-05,65920.6046762138
2.29936410872781e-05,67222.5383532716
2.30552041420118e-05,68588.2414006825
2.31167671967456e-05,70129.4323601458
2.31783302514793e-05,71774.9806361282
2.3239893306213e-05,73528.6923281141
2.33014563609467e-05,75351.63546508
2.33630194156805e-05,77198.6988642153
2.34245824704142e-05,79004.8221212308
2.34861455251479e-05,80773.722273454
2.35477085798817e-05,82392.2011673935
2.36092716346154e-05,83936.2575170667
2.36708346893491e-05,85366.744130702
2.37323977440828e-05,86681.4544256384
2.37939607988166e-05,87912.2773342399
2.38555238535503e-05,89050.0175753837
2.3917086908284e-05,90156.3299767284
2.39786499630178e-05,91136.6664401776
2.40402130177515e-05,92101.1863243969
2.41017760724852e-05,93016.0223884353
2.41633391272189e-05,93917.0788132127
2.42249021819527e-05,94734.8437779538
2.42864652366864e-05,95554.9043475051
2.43480282914201e-05,96382.3060093958
2.44095913461538e-05,97187.4755301317
2.44711544008876e-05,97944.2952679052
2.45327174556213e-05,98728.5320087886
2.4594280510355e-05,99559.0019148435
2.46558435650888e-05,100367.499630288
2.47174066198225e-05,101144.596020485
2.47789696745562e-05,101989.05512117
2.48405327292899e-05,102922.823412412
2.49020957840237e-05,103838.785225425
2.49636588387574e-05,104731.180096923
2.50252218934911e-05,105730.917591675
2.50867849482249e-05,106885.320539331
2.51483480029586e-05,108027.266460326
2.52099110576923e-05,109147.956883172
2.5271474112426e-05,110389.85002284
2.53330371671598e-05,111903.792542121
2.53946002218935e-05,113411.203266899
2.54561632766272e-05,114896.216951404
2.55177263313609e-05,116440.435615633
2.55792893860947e-05,118409.727659994
2.56408524408284e-05,120379.019704356
2.57024154955621e-05,122321.590642739
2.57639785502959e-05,124264.097379992
2.58255416050296e-05,126518.524763594
2.58871046597633e-05,128827.905764885
2.5948667714497e-05,131120.194173952
2.60102307692308e-05,133404.501801502
2.60717938239645e-05,135681.255667097
2.61333568786982e-05,137950.110533935
2.6194919933432e-05,140211.154092027
